Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
5,"suka sekali dgn hallo doc,dengan rebahan pun kita bisa konsultasi dokter specialist berpengalaman dengan trade record dokter yg komplit jd kita bsa tau,dokter spti apa yg kita butuhkan.👍👍",suka sekali dgn hallo docdengan rebahan pun kita bisa konsultasi dokter specialist berpengalaman dengan trade record dokter yg komplit jd kita bsa taudokter spti apa yg kita butuhkan,suka sekali dgn hallo docdengan rebahan pun kita bisa konsultasi dokter specialist berpengalaman dengan trade record dokter yg komplit jd kita bsa taudokter spti apa yg kita butuhkan,suka sekali dengan halo docdengan rebahan pun kita bisa konsultasi dokter specialist berpengalaman dengan trade record dokter yang komplit jadi kita bisa taudokter seperti apa yang kita butuhkan,"['suka', 'sekali', 'dengan', 'halo', 'docdengan', 'rebahan', 'pun', 'kita', 'bisa', 'konsultasi', 'dokter', 'specialist', 'berpengalaman', 'dengan', 'trade', 'record', 'dokter', 'yang', 'komplit', 'jadi', 'kita', 'bisa', 'taudokter', 'seperti', 'apa', 'yang', 'kita', 'butuhkan']","['suka', 'halo', 'docdengan', 'rebahan', 'konsultasi', 'dokter', 'specialist', 'berpengalaman', 'trade', 'record', 'dokter', 'komplit', 'taudokter', 'butuhkan']",suka halo docdengan rebah konsultasi dokter specialist alam trade record dokter komplit taudokter butuh
1,"konsul dr. sp. N, sudah bayar, chat panjang lebar tapi ga dibalas.. kecewa",konsul dr sp N sudah bayar chat panjang lebar tapi ga dibalas kecewa,konsul dr sp n sudah bayar chat panjang lebar tapi ga dibalas kecewa,konsultasi dari sapa n sudah bayar chat panjang lebar tapi tidak dibalas kecewa,"['konsultasi', 'dari', 'sapa', 'n', 'sudah', 'bayar', 'chat', 'panjang', 'lebar', 'tapi', 'tidak', 'dibalas', 'kecewa']","['konsultasi', 'sapa', 'n', 'bayar', 'chat', 'lebar', 'dibalas', 'kecewa']",konsultasi sapa n bayar chat lebar balas kecewa
4,mantwap,mantwap,mantwap,mantwap,['mantwap'],['mantwap'],mantwap
5,"cepat sigap, semoga lekas sembuh semua",cepat sigap semoga lekas sembuh semua,cepat sigap semoga lekas sembuh semua,cepat sigap semoga lekas sembuh semua,"['cepat', 'sigap', 'semoga', 'lekas', 'sembuh', 'semua']","['cepat', 'sigap', 'semoga', 'lekas', 'sembuh']",cepat sigap moga lekas sembuh
5,"sangat"" buagus",sangat buagus,sangat buagus,sangat buagus,"['sangat', 'buagus']",['buagus'],buagus
5,baikk,baikk,baikk,baik,['baik'],[],
5,sangat membantu terimkasih halo doc,sangat membantu terimkasih halo doc,sangat membantu terimkasih halo doc,sangat membantu terimkasih halo doc,"['sangat', 'membantu', 'terimkasih', 'halo', 'doc']","['membantu', 'terimkasih', 'halo', 'doc']",bantu terimkasih halo doc
5,mantap pelayanannya,mantap pelayanannya,mantap pelayanannya,mantap pelayanannya,"['mantap', 'pelayanannya']","['mantap', 'pelayanannya']",mantap layan
5,servis luar biasa baguss,servis luar biasa baguss,servis luar biasa baguss,servis luar biasa bagus,"['servis', 'luar', 'biasa', 'bagus']","['servis', 'bagus']",servis bagus
5,sangat membantu dan cepat,sangat membantu dan cepat,sangat membantu dan cepat,sangat membantu dan cepat,"['sangat', 'membantu', 'dan', 'cepat']","['membantu', 'cepat']",bantu cepat
1,"bikin 2 order. 1. obat dikirim ke next day, padahal pakai instan. 2. obat ada, tp gak dapet driver. hedeh...",bikin  order  obat dikirim ke next day padahal pakai instan  obat ada tp gak dapet driver hedeh,bikin  order  obat dikirim ke next day padahal pakai instan  obat ada tp gak dapet driver hedeh,bikin order obat dikirim ke next day padahal pakai instan obat ada tapi tidak dapat driver hedeh,"['bikin', 'order', 'obat', 'dikirim', 'ke', 'next', 'day', 'padahal', 'pakai', 'instan', 'obat', 'ada', 'tapi', 'tidak', 'dapat', 'driver', 'hedeh']","['bikin', 'order', 'obat', 'dikirim', 'next', 'day', 'pakai', 'instan', 'obat', 'driver', 'hedeh']",bikin order obat kirim next day pakai instan obat driver hedeh
5,Sangat membantu tanpa repot harus ke RS.,Sangat membantu tanpa repot harus ke RS,sangat membantu tanpa repot harus ke rs,sangat membantu tanpa repot harus ke rs,"['sangat', 'membantu', 'tanpa', 'repot', 'harus', 'ke', 'rs']","['membantu', 'repot', 'rs']",bantu repot rs
5,memudahkan pasien untuk berobat,memudahkan pasien untuk berobat,memudahkan pasien untuk berobat,memudahkan pasien untuk berobat,"['memudahkan', 'pasien', 'untuk', 'berobat']","['memudahkan', 'pasien', 'berobat']",mudah pasien obat
5,baik dan bagus cuman jarang ada promo,baik dan bagus cuman jarang ada promo,baik dan bagus cuman jarang ada promo,baik dan bagus cuman jarang ada promo,"['baik', 'dan', 'bagus', 'cuman', 'jarang', 'ada', 'promo']","['bagus', 'cuman', 'jarang', 'promo']",bagus cuman jarang promo
5,sangat membatu,sangat membatu,sangat membatu,sangat membatu,"['sangat', 'membatu']",['membatu'],batu
5,bantu banget heheh,bantu banget heheh,bantu banget heheh,bantu banget heheh,"['bantu', 'banget', 'heheh']","['bantu', 'banget', 'heheh']",bantu banget heheh
5,bikin nyaman saat konsul dengan dokter,bikin nyaman saat konsul dengan dokter,bikin nyaman saat konsul dengan dokter,bikin nyaman saat konsultasi dengan dokter,"['bikin', 'nyaman', 'saat', 'konsultasi', 'dengan', 'dokter']","['bikin', 'nyaman', 'konsultasi', 'dokter']",bikin nyaman konsultasi dokter
5,keren cepat bermanfaat gaws macet2 ke rs klo hanya untuk sakit ringan,keren cepat bermanfaat gaws macet ke rs klo hanya untuk sakit ringan,keren cepat bermanfaat gaws macet ke rs klo hanya untuk sakit ringan,keren cepat bermanfaat gaws macet ke rs kalau hanya untuk sakit ringan,"['keren', 'cepat', 'bermanfaat', 'gaws', 'macet', 'ke', 'rs', 'kalau', 'hanya', 'untuk', 'sakit', 'ringan']","['keren', 'cepat', 'bermanfaat', 'gaws', 'macet', 'rs', 'sakit', 'ringan']",keren cepat manfaat gaws macet rs sakit ringan
5,bagus,bagus,bagus,bagus,['bagus'],['bagus'],bagus
5,memudahkan saat sakit,memudahkan saat sakit,memudahkan saat sakit,memudahkan saat sakit,"['memudahkan', 'saat', 'sakit']","['memudahkan', 'sakit']",mudah sakit
5,ok mantap,ok mantap,ok mantap,ok mantap,"['ok', 'mantap']","['ok', 'mantap']",ok mantap
5,memuaskan,memuaskan,memuaskan,memuaskan,['memuaskan'],['memuaskan'],muas
5,"ternyata bisa dapat resep obat, tinggal beli di apotik. mantapp",ternyata bisa dapat resep obat tinggal beli di apotik mantapp,ternyata bisa dapat resep obat tinggal beli di apotik mantapp,ternyata bisa dapat resep obat tinggal beli di apotik mantap,"['ternyata', 'bisa', 'dapat', 'resep', 'obat', 'tinggal', 'beli', 'di', 'apotik', 'mantap']","['resep', 'obat', 'tinggal', 'beli', 'apotik', 'mantap']",resep obat tinggal beli apotik mantap
5,cepat membantu,cepat membantu,cepat membantu,cepat membantu,"['cepat', 'membantu']","['cepat', 'membantu']",cepat bantu
5,alhamdulillah puas dokternya menjelaskan secara detail,alhamdulillah puas dokternya menjelaskan secara detail,alhamdulillah puas dokternya menjelaskan secara detail,alhamdulillah puas dokternya menjelaskan secara detail,"['alhamdulillah', 'puas', 'dokternya', 'menjelaskan', 'secara', 'detail']","['alhamdulillah', 'puas', 'dokternya', 'detail']",alhamdulillah puas dokter detail
5,oke juga,oke juga,oke juga,oke juga,"['oke', 'juga']",['oke'],oke
1,"jaringan dibuat buka app lain aman tapi ke halodoc reload mulu, untung ngambul konsul yg 1jam kalo 30mnt mah abis direload reload doang",jaringan dibuat buka app lain aman tapi ke halodoc reload mulu untung ngambul konsul yg jam kalo mnt mah abis direload reload doang,jaringan dibuat buka app lain aman tapi ke halodoc reload mulu untung ngambul konsul yg jam kalo mnt mah abis direload reload doang,jaringan dibuat buka app lain aman tapi ke halodoc reload mulu untung ngambul konsultasi yang jam kalau minta mah habis direload reload doang,"['jaringan', 'dibuat', 'buka', 'app', 'lain', 'aman', 'tapi', 'ke', 'halodoc', 'reload', 'mulu', 'untung', 'ngambul', 'konsultasi', 'yang', 'jam', 'kalau', 'minta', 'mah', 'habis', 'direload', 'reload', 'doang']","['jaringan', 'buka', 'app', 'aman', 'halodoc', 'reload', 'mulu', 'untung', 'ngambul', 'konsultasi', 'jam', 'mah', 'habis', 'direload', 'reload', 'doang']",jaring buka app aman halodoc reload mulu untung ngambul konsultasi jam mah habis direload reload doang
5,Halodoc aplikasi yang sangat bagus. Memudahkan kita untuk berkomsultasi dan dokter-dokternya juga friendly. 😘😘😘😘,Halodoc aplikasi yang sangat bagus Memudahkan kita untuk berkomsultasi dan dokterdokternya juga friendly ,halodoc aplikasi yang sangat bagus memudahkan kita untuk berkomsultasi dan dokterdokternya juga friendly ,halodoc aplikasi yang sangat bagus memudahkan kita untuk berkomsultasi dan dokterdokternya juga friendly,"['halodoc', 'aplikasi', 'yang', 'sangat', 'bagus', 'memudahkan', 'kita', 'untuk', 'berkomsultasi', 'dan', 'dokterdokternya', 'juga', 'friendly']","['halodoc', 'aplikasi', 'bagus', 'memudahkan', 'berkomsultasi', 'dokterdokternya', 'friendly']",halodoc aplikasi bagus mudah berkomsultasi dokterdokternya friendly
5,informatif sangat membantu,informatif sangat membantu,informatif sangat membantu,informatif sangat membantu,"['informatif', 'sangat', 'membantu']","['informatif', 'membantu']",informatif bantu
5,bagus dan sangat bermanfaat 👍🙏🙏,bagus dan sangat bermanfaat ,bagus dan sangat bermanfaat ,bagus dan sangat bermanfaat,"['bagus', 'dan', 'sangat', 'bermanfaat']","['bagus', 'bermanfaat']",bagus manfaat
1,layanan yg tidak bisa di bantu pengiriman obat dan vitamin dari pelanggan,layanan yg tidak bisa di bantu pengiriman obat dan vitamin dari pelanggan,layanan yg tidak bisa di bantu pengiriman obat dan vitamin dari pelanggan,layanan yang tidak bisa di bantu pengiriman obat dan vitamin dari pelanggan,"['layanan', 'yang', 'tidak', 'bisa', 'di', 'bantu', 'pengiriman', 'obat', 'dan', 'vitamin', 'dari', 'pelanggan']","['layanan', 'bantu', 'pengiriman', 'obat', 'vitamin', 'pelanggan']",layan bantu kirim obat vitamin langgan
1,"koneksi sangat buruk, chat terbaca dokternya sangat lama. Respon dokter lambat dan sangat singkat. Buang2 uang, sama aja tanya ke chat gpt. Konsultasi terburuk selama pakai halo doc.",koneksi sangat buruk chat terbaca dokternya sangat lama Respon dokter lambat dan sangat singkat Buang uang sama aja tanya ke chat gpt Konsultasi terburuk selama pakai halo doc,koneksi sangat buruk chat terbaca dokternya sangat lama respon dokter lambat dan sangat singkat buang uang sama aja tanya ke chat gpt konsultasi terburuk selama pakai halo doc,koneksi sangat buruk chat terbaca dokternya sangat lama respon dokter lambat dan sangat singkat buang uang sama saja tanya ke chat gpt konsultasi terburuk selama pakai halo doc,"['koneksi', 'sangat', 'buruk', 'chat', 'terbaca', 'dokternya', 'sangat', 'lama', 'respon', 'dokter', 'lambat', 'dan', 'sangat', 'singkat', 'buang', 'uang', 'sama', 'saja', 'tanya', 'ke', 'chat', 'gpt', 'konsultasi', 'terburuk', 'selama', 'pakai', 'halo', 'doc']","['koneksi', 'buruk', 'chat', 'terbaca', 'dokternya', 'respon', 'dokter', 'lambat', 'singkat', 'buang', 'uang', 'chat', 'gpt', 'konsultasi', 'terburuk', 'pakai', 'halo', 'doc']",koneksi buruk chat baca dokter respon dokter lambat singkat buang uang chat gpt konsultasi buruk pakai halo doc
4,bagus cepat,bagus cepat,bagus cepat,bagus cepat,"['bagus', 'cepat']","['bagus', 'cepat']",bagus cepat
5,"gercep, terimakasi para dokter",gercep terimakasi para dokter,gercep terimakasi para dokter,gercep terimakasi para dokter,"['gercep', 'terimakasi', 'para', 'dokter']","['gercep', 'terimakasi', 'dokter']",gercep terimakasi dokter
5,terbaik dokter² nya .. selalu memberi penjelasan yg jelas dan mudah di mengerti,terbaik dokter nya  selalu memberi penjelasan yg jelas dan mudah di mengerti,terbaik dokter nya  selalu memberi penjelasan yg jelas dan mudah di mengerti,terbaik dokter ya selalu memberi penjelasan yang jelas dan mudah di mengerti,"['terbaik', 'dokter', 'ya', 'selalu', 'memberi', 'penjelasan', 'yang', 'jelas', 'dan', 'mudah', 'di', 'mengerti']","['terbaik', 'dokter', 'ya', 'penjelasan', 'mudah', 'mengerti']",baik dokter ya jelas mudah erti
5,bagus banget,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget
5,luar biasa sangat membantu,luar biasa sangat membantu,luar biasa sangat membantu,luar biasa sangat membantu,"['luar', 'biasa', 'sangat', 'membantu']",['membantu'],bantu
5,Terimakasih sudah menciptakan aplikasi halo dok,Terimakasih sudah menciptakan aplikasi halo dok,terimakasih sudah menciptakan aplikasi halo dok,terimakasih sudah menciptakan aplikasi halo dok,"['terimakasih', 'sudah', 'menciptakan', 'aplikasi', 'halo', 'dok']","['terimakasih', 'menciptakan', 'aplikasi', 'halo', 'dok']",terimakasih cipta aplikasi halo dok
5,"sangat terbantu dengan kehadiran Halodoc, memberikan ruang bagi pasien yang takut berkunjung langsung karena alasan minder dan belum siap mental mengetahui hasil pemeriksaan, praktis, dan efisien secara biaya.",sangat terbantu dengan kehadiran Halodoc memberikan ruang bagi pasien yang takut berkunjung langsung karena alasan minder dan belum siap mental mengetahui hasil pemeriksaan praktis dan efisien secara biaya,sangat terbantu dengan kehadiran halodoc memberikan ruang bagi pasien yang takut berkunjung langsung karena alasan minder dan belum siap mental mengetahui hasil pemeriksaan praktis dan efisien secara biaya,sangat terbantu dengan kehadiran halodoc memberikan ruang bagi pasien yang takut berkunjung langsung karena alasan minder dan belum siap mental mengetahui hasil pemeriksaan praktis dan efisien secara biaya,"['sangat', 'terbantu', 'dengan', 'kehadiran', 'halodoc', 'memberikan', 'ruang', 'bagi', 'pasien', 'yang', 'takut', 'berkunjung', 'langsung', 'karena', 'alasan', 'minder', 'dan', 'belum', 'siap', 'mental', 'mengetahui', 'hasil', 'pemeriksaan', 'praktis', 'dan', 'efisien', 'secara', 'biaya']","['terbantu', 'kehadiran', 'halodoc', 'ruang', 'pasien', 'takut', 'berkunjung', 'langsung', 'alasan', 'minder', 'mental', 'hasil', 'pemeriksaan', 'praktis', 'efisien', 'biaya']",bantu hadir halodoc ruang pasien takut kunjung langsung alas minder mental hasil periksa praktis efisien biaya
5,"sangat membantu, dokter nya pun ramah dapat dipahami",sangat membantu dokter nya pun ramah dapat dipahami,sangat membantu dokter nya pun ramah dapat dipahami,sangat membantu dokter ya pun ramah dapat dipahami,"['sangat', 'membantu', 'dokter', 'ya', 'pun', 'ramah', 'dapat', 'dipahami']","['membantu', 'dokter', 'ya', 'ramah', 'dipahami']",bantu dokter ya ramah paham
5,istimewa,istimewa,istimewa,istimewa,['istimewa'],['istimewa'],istimewa
4,"kmrn beli thermometer pake aplikasi ini pake jasa kirim grab biar instan tpi di aplikasinya sudah di selesaikan sedangkan barangnya ngga pernah smpe sudah di cari ngga ada, pas di chat ke cs halodoc cuma di kirimin foto pengiriman dri grabnya aja bukn foto barangnya trus di suruh cari lagi, saya yakin ini bukn salah halodoc tpi pengiriman grabnya yang ngga amanah tpi saran dan rekomendasi dri saya klo dri cs halodoknya bisa bantu masalahnya itu jadi jauh lebih baik",kmrn beli thermometer pake aplikasi ini pake jasa kirim grab biar instan tpi di aplikasinya sudah di selesaikan sedangkan barangnya ngga pernah smpe sudah di cari ngga ada pas di chat ke cs halodoc cuma di kirimin foto pengiriman dri grabnya aja bukn foto barangnya trus di suruh cari lagi saya yakin ini bukn salah halodoc tpi pengiriman grabnya yang ngga amanah tpi saran dan rekomendasi dri saya klo dri cs halodoknya bisa bantu masalahnya itu jadi jauh lebih baik,kmrn beli thermometer pake aplikasi ini pake jasa kirim grab biar instan tpi di aplikasinya sudah di selesaikan sedangkan barangnya ngga pernah smpe sudah di cari ngga ada pas di chat ke cs halodoc cuma di kirimin foto pengiriman dri grabnya aja bukn foto barangnya trus di suruh cari lagi saya yakin ini bukn salah halodoc tpi pengiriman grabnya yang ngga amanah tpi saran dan rekomendasi dri saya klo dri cs halodoknya bisa bantu masalahnya itu jadi jauh lebih baik,kemarin beli thermometer pakai aplikasi ini pakai jasa kirim grab biar instan tapi di aplikasinya sudah di selesaikan sedangkan barangnya tidak pernah sampai sudah di cari tidak ada pas di chat ke cs halodoc cuma di mengirimi foto pengiriman dari grabnya saja bukan foto barangnya terus di suruh cari lagi saya yakin ini bukan salah halodoc tapi pengiriman grabnya yang tidak amanah tapi saran dan rekomendasi dari saya kalau dari cs halodoknya bisa bantu masalahnya itu jadi jauh lebih baik,"['kemarin', 'beli', 'thermometer', 'pakai', 'aplikasi', 'ini', 'pakai', 'jasa', 'kirim', 'grab', 'biar', 'instan', 'tapi', 'di', 'aplikasinya', 'sudah', 'di', 'selesaikan', 'sedangkan', 'barangnya', 'tidak', 'pernah', 'sampai', 'sudah', 'di', 'cari', 'tidak', 'ada', 'pas', 'di', 'chat', 'ke', 'cs', 'halodoc', 'cuma', 'di', 'mengirimi', 'foto', 'pengiriman', 'dari', 'grabnya', 'saja', 'bukan', 'foto', 'barangnya', 'terus', 'di', 'suruh', 'cari', 'lagi', 'saya', 'yakin', 'ini', 'bukan', 'salah', 'halodoc', 'tapi', 'pengiriman', 'grabnya', 'yang', 'tidak', 'amanah', 'tapi', 'saran', 'dan', 'rekomendasi', 'dari', 'saya', 'kalau', 'dari', 'cs', 'halodoknya', 'bisa', 'bantu', 'masalahnya', 'itu', 'jadi', 'jauh', 'lebih', 'baik']","['kemarin', 'beli', 'thermometer', 'pakai', 'aplikasi', 'pakai', 'jasa', 'kirim', 'grab', 'biar', 'instan', 'aplikasinya', 'selesaikan', 'barangnya', 'cari', 'pas', 'chat', 'cs', 'halodoc', 'mengirimi', 'foto', 'pengiriman', 'grabnya', 'foto', 'barangnya', 'suruh', 'cari', 'salah', 'halodoc', 'pengiriman', 'grabnya', 'amanah', 'saran', 'rekomendasi', 'cs', 'halodoknya', 'bantu']",kemarin beli thermometer pakai aplikasi pakai jasa kirim grab biar instan aplikasi selesai barang cari pas chat cs halodoc kirim foto kirim grabnya foto barang suruh cari salah halodoc kirim grabnya amanah saran rekomendasi cs halodoknya bantu
5,sangat amattt membantuuuuu,sangat amattt membantuuuuu,sangat amattt membantuuuuu,sangat amattt membantuuuuu,"['sangat', 'amattt', 'membantuuuuu']","['amattt', 'membantuuuuu']",amattt membantuuuuu
5,masih coba-coba tapi not bad baguss,masih cobacoba tapi not bad baguss,masih cobacoba tapi not bad baguss,masih cobacoba tapi not bad bagus,"['masih', 'cobacoba', 'tapi', 'not', 'bad', 'bagus']","['cobacoba', 'not', 'bad', 'bagus']",cobacoba not bad bagus
5,sangat membantu. hemat waktu. hemat biaya,sangat membantu hemat waktu hemat biaya,sangat membantu hemat waktu hemat biaya,sangat membantu hemat waktu hemat biaya,"['sangat', 'membantu', 'hemat', 'waktu', 'hemat', 'biaya']","['membantu', 'hemat', 'hemat', 'biaya']",bantu hemat hemat biaya
3,"baiknya ada penambahan metode pembayaran, spt virtual account",baiknya ada penambahan metode pembayaran spt virtual account,baiknya ada penambahan metode pembayaran spt virtual account,baiknya ada penambahan metode pembayaran seperti virtual account,"['baiknya', 'ada', 'penambahan', 'metode', 'pembayaran', 'seperti', 'virtual', 'account']","['baiknya', 'penambahan', 'metode', 'pembayaran', 'virtual', 'account']",baik tambah metode bayar virtual account
5,Respon baik,Respon baik,respon baik,respon baik,"['respon', 'baik']",['respon'],respon
5,Sangat membantu,Sangat membantu,sangat membantu,sangat membantu,"['sangat', 'membantu']",['membantu'],bantu
5,sangat memuaskan,sangat memuaskan,sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']",['memuaskan'],muas
5,ngabantu di situasi darurat,ngabantu di situasi darurat,ngabantu di situasi darurat,ngabantu di situasi darurat,"['ngabantu', 'di', 'situasi', 'darurat']","['ngabantu', 'situasi', 'darurat']",ngabantu situasi darurat
4,ok,ok,ok,ok,['ok'],['ok'],ok
5,good,good,good,good,['good'],['good'],good
