Rating,steming_data,Score,Sentiment
5,bantu anak kos sekarat kosan,-1,Negatif
5,aplikasi bagus,-1,Negatif
5,cepat,0,Netral
1,uang potong chat dokter astaga,0,Netral
5,good job,1,Positif
5,mudah cepat antar,0,Netral
5,mudah puas konsultasi obat sesuai butuh konsultasi,2,Positif
5,tanggap ya baiksemoga resep ya cocok muka ubah ya,5,Positif
5,aplikasi bagus manfaat bantu guru bahasa inggris sekolah dasar jenis kelamin serta didik alam serta didik milik kurang lain sikap watak karakter tingkah laku sulit guru didik atur bimbing aplikasi bantu manfaat guru atas kurang serta didik,3,Positif
5,dokter ramah fast respon,1,Positif
1,layan kecewa segi sesi konsultasi kirim pesan obat minggu pesan obat,-1,Negatif
1,gue bayar woyy konsultasi tinggal dokter puas serius pilih dokter hijab kayak sih menit terkahir nongol dokter ya omong pakmasih astaghfirullah,-3,Negatif
5,konsultasi dokter marcooke banget tq dok,4,Positif
4,bantu banget,1,Positif
5,sgtt bagus,0,Netral
5,mambantu,0,Netral
5,bantu,0,Netral
5,bantu masalah kulit super sensitif malam konsultasi ret anggraeni spdve,0,Netral
5,makmak malam galau pilih metode kb curhat ahli terimakasih halodoc bantu banget urus galau malam,-2,Negatif
5,puas layan ramah sopan mudah erti bantu,1,Positif
5,bantu,0,Netral
5,sopan,0,Netral
5,bantu konsultasi sehat,1,Positif
5,keren,0,Netral
5,guna,1,Positif
5,bagus bre malas rumah drnya kota kampung keluh sehat,-1,Negatif
5,bantu,0,Netral
5,keren dokter ramah kalang remaja deeptalk xixi,-1,Negatif
5,mudah layan praktis,1,Positif
5,dokter respon cepat ramah masyallah,1,Positif
5,bagus bantu detail,1,Positif
5,layan cepat,0,Netral
5,konsultasi salah dokter spesialis sakit muhammad ridho sapa sesi menit jelas panik sabar halodoc salah referensi konsultasi dokter mudah praktis cocok ldr konsultasi pasang,2,Positif
1,cocok orang miskin hati nurani astagfirullah lo tes mental gratis web ahli psikologi ya mahal banget astagfirullah omong,2,Positif
5,halo doc bantu konsultasi dokter ribet dokter ramah barusan konsultasi dokter kulit ivon setiawan ramah rekomendasi banget konsultasi keluh kulit,4,Positif
5,oke,1,Positif
5,dokter ramah merespon utara terimakasih dokter,2,Positif
5,bantu kala desak,0,Netral
5,bantu konsultasi dokter jarak,1,Positif
5,halodoc mudah akses layan online oke banget milik dokter kompeten review dokter bantu timbang sukses halodoc,5,Positif
5,bantu,0,Netral
5,kerjasama apotik jam ongkir biaya mahak dana tahan apotik buka urgent butuh obat,0,Netral
5,bantu pergi rs layan cepat kirim obat cepat,0,Netral
5,aplikasi membantuu terima kasih asri isnaini,0,Netral
5,aplikasi halodok bagus mudah erti terima kasih halodoc,0,Netral
5,mudah konsultasi dokter pilih,0,Netral
5,dokter bantu pasien jelas mudah erti kirim obat cepat,0,Netral
5,halo doc baik,1,Positif
5,dokter detail jelas mudah erti,1,Positif
5,top,1,Positif
5,erti jelas dokter halodoc terimakasih,1,Positif
5,bantu,0,Netral
5,informatif,0,Netral
5,terima kasih halodoc,1,Positif
5,muas dokter ramah cepat tanggap langsung solusi puass banget,5,Positif
1,pesan sapa troches kirim kecewa,1,Positif
1,apk serba byar dok nya,1,Positif
5,cepetkeren,0,Netral
5,lega cerita,0,Netral
5,keren euuuyyngk repot antri selesai,-1,Negatif
5,terimakasih bantu sakit,0,Netral
5,oke fast respon dokter,2,Positif
5,kerenbagus praktis,1,Positif
5,top cepat respon,2,Positif
5,membantuuu,0,Netral
5,the best,0,Netral
5,dokter ramah,0,Netral
5,layan bagus ramah,0,Netral
5,fast respon,1,Positif
5,mantap,1,Positif
1,pesan obat oke beli pesan batal pesan batal kembali dana masuk mbanking status kembali dana selesai terima,0,Netral
1,serius setaip chat dokter bayar bayar dokter bayar dokter beda banget aplikasi ya bayar kali bebas chat dokter mana rekomendasi banget,1,Positif
5,mantab degh,0,Netral
5,halodoc bantu butuh obat vitamin langsung rs apotik dokter ramah cepat responnya terimakasih halodoc,0,Netral
5,fast respon,1,Positif
5,enak aplikasi baik konsultasi mudah mana,0,Netral
5,bantu darurat,0,Netral
1,mahal konsultasi batas yaudah ya,2,Positif
5,layan ya bagus,1,Positif
5,cepat mudah,0,Netral
5,sip mantap is the best,1,Positif
5,ramah teliti trimakasih manfaat,2,Positif
5,aplikasi bantu,-1,Negatif
5,mudah,0,Netral
5,bagus banget dokter bantu,1,Positif
5,enak dokter paham keluh onlinebaru kali konsultasi halodoc puasg rs tunggu jadwal dokter antri administrasiterimakasih halodoc moga obat cocok dokter hana,1,Positif
5,oke banget,2,Positif
5,bagus mudah konsultasi dokter terimakasih halodoc,2,Positif
5,recommended,0,Netral
5,bagus dokter,0,Netral
5,bantu saat jam konsultasi dokter offline tutup,0,Netral
5,the best akses kota indonesia terimakasih halodoc,1,Positif
5,ahli,0,Netral
3,harap layan aplikasi bantu tki malaysia daftar akun tiada pilih nomor malaysia sulit tki produk negeri mana bantu jamin aman negara,-2,Negatif
5,halodoc bantu banget jadwal pdt antri rs,1,Positif
5,dokter,0,Netral
1,ber bayar,0,Netral
5,puas,1,Positif
5,the best sih moga harga stabil app belah,2,Positif
5,bantu derita sakit keluargakerabat,-2,Negatif
5,cepat tanggap,1,Positif
5,layan,0,Netral
5,bantu trimakasih halodoc,1,Positif
5,dokter ramah garcep balas moga cocok obat,0,Netral
1,saran masuk bisahketika pesan obat sehat aplikasi inipengrimannyatlng percepatkarena inimenyangkut sehat pasienklu sakitnggk pesan obat online aplikasi inibukan permudamalah ribet nunggunyamkshsemogah kedepannyalebih mudah cepat kirim,-5,Negatif
5,aplikasi bantu obat rumah,-1,Negatif
5,pilih dokter lengkap pilih cepat ribet diagnosa lesat alhamdulilah,-2,Negatif
5,cepat n akurat,0,Netral
5,bantu banget,1,Positif
4,area sukabumi mohon apotek daerah kota sukabumi obat butuh cepat terima kirim daerah cibadak kab sukabumi lokasi kota sukabumi,-2,Negatif
5,benarbenar bantu,0,Netral
5,responsif jasa,1,Positif
5,alhamdulillah bantu,1,Positif
5,bagus layan ya,1,Positif
5,dokter nya aktif merespon,1,Positif
5,dokter putri alsyifa alwis bagus layan,0,Netral
5,untung halodoc,0,Netral
5,mantap deh praktis,2,Positif
5,jujurngebantu bangetrespon dokter baiklope dehsemoga lancar ya halodock,1,Positif
5,mudah konsultasi tinggal anak,0,Netral
5,aplikasi bagus,-1,Negatif
5,bagus layan ramah bantu,0,Netral
5,dokter komunikatif bantu,0,Netral
5,terima kasih dokter bayusdh moga anak cepat sembuh,2,Positif
5,layan dokter,0,Netral
1,aplikasi halodoc bagusmembantu orang butuh obat relatif cepat aplikasi delivery ya medex masuk akal mau untung bayar murah,-4,Negatif
5,mantab halodoc solusi cepat,1,Positif
5,bantu,0,Netral
5,bantu rumah,1,Positif
5,bantu tinggal keluh sehat,0,Netral
1,bayar konsultasi dokter chat orang jawab template turut google biar,1,Positif
5,mmbantu langsung chat dokter tratasi,2,Positif
1,konsultasi respon dokter sih dokter nyuruh konsultasi buang buang duit omong dokter respon pasien ya alas dokter ganggu sinyal buang buang duit kayak,-3,Negatif
4,alam konsultasi aplikasi halodoc alhamdulillah bantu terimakasih halodoc,2,Positif
5,bantu,0,Netral
5,bantu info akurat sehat,-1,Negatif
5,aplikasi bantu konsultasi sehat,0,Netral
5,manfaat,1,Positif
5,sanagat puas dokter cepat tanggap,2,Positif
5,aplikasi bantu darurat sakit ringan konsultasi psikolog psikiater,-1,Negatif
4,bantu dokter praktek,0,Netral
5,muas detail dokter lingga spa,2,Positif
1,bayar ribu sapa doang kecewa pakai aplikasi,-1,Negatif
4,full respon,1,Positif
5,mantap,1,Positif
2,durasi konsultasi dokter singkat biaya lumayan uras kantong,0,Netral
1,ribet banget cari duit ya mode kirim dil instan mahal ya pp beli obat ya tambah biar proses obat beli sesuai butuh mubasir aplikasi ya kecewa guna,5,Positif
5,bantu waktu malam,-1,Negatif
5,aplikasi manfaat,0,Netral
5,mudah instalasi dokter dokter kooperatif mantap deh,1,Positif
5,mudah konsultasi dokter,1,Positif
5,dokter ya ramah pertamyaan detail,2,Positif
5,mantap aplikasi,0,Netral
5,dokter fast respon,1,Positif
5,bagus cepat tanggap,1,Positif
5,good fast respon,2,Positif
1,konsep ya payment tunggu konsultasi menit tbtb dokter sibuk tau tau selesai ngapa kapai konsultasi duit layang,1,Positif
1,overall oke suka kirim beda instan reguler sehat ya usaha baik obat terima langgan anggap ladang bisnis kelas edit bintang bintang review jujur eh balas hubung cs keluh,2,Positif
5,bantu anak rantau,-1,Negatif
5,cuman puas sesi cuman menit,1,Positif
5,mudah konsultasi keluhanan sehat keluarga,1,Positif
5,terimakasih bantu,1,Positif
1,obat resep kota bandung pakai asuransi resep obat berulangkali aplikasi kecewa,-3,Negatif
5,simple,1,Positif
5,haru sih baik layan dokter muhrim resep bagus dokter amanah rawat kasih sayang peduli gender kondisi uang btw dokterdokter sudi konsultasi alhamdulillah sakit kulit sembuh,4,Positif
5,praktis harga lumayan mahal sih,3,Positif
1,bayar chat dokter gagal saldo hangus aplikasi tipu opsi bantu aplikasi tipu,-2,Negatif
5,baguus banget,1,Positif
5,mantaf gercep,0,Netral
5,manfaat,1,Positif
5,cerita ahli kulit kasih ahli paru sambung tolong solusi bayar informasi,0,Netral
5,aplikasi bantu kondisi darurat,-1,Negatif
5,bagus,0,Netral
5,membantudokter dokter informatif banget,1,Positif
5,bantu ya aplikasi halodoc,0,Netral
1,dokter erti sekalisakit parah kasih rekomen obat mahal mahallebih teliti halodoc,-1,Negatif
5,aplikasi bantu layan cepat,-1,Negatif
5,obat mudah antri,-1,Negatif
5,respon konsultasi cepat,2,Positif
5,konsultasi bantu hari libur resep obat kasih cepat datang terima kasih halodoc,2,Positif
5,membantuu,0,Netral
5,rekomendasi,0,Netral
5,order halodoc driver baikterima kasih,0,Netral
5,ok banget,2,Positif
5,detail bantu,1,Positif
1,layan kirim obat sedia juru pelosok indonesia,0,Netral
5,pilih pesan obat,-2,Negatif
5,fast respond,0,Netral
5,senang antre klinik tinggal lihat hasil,2,Positif
5,dokter cepat merespon jelas sakit rekomendasi obat jelas pakai ya,0,Netral
5,layan ya bagus puasa,0,Netral
5,okeee,0,Netral
5,membntu aplagi maslh mens atur konsultasi dokter via cht membntu,1,Positif
1,aplikasi sedia obat obat tolong segera barang tunda kembang sedia kota kirim tuju kota camat milik apotek,0,Netral
5,layan dokter ya bantu malam chat dokter pemjelasan jelasterimakasih halo doc,2,Positif
5,mudah tuntas,1,Positif
5,inovasi mudah,1,Positif
5,mudah mudah cocok manfaat beli obat halodoc terimakasih konsultasi bu dokter hemat biaya hemat efisien indak ribet obat langsung antar terima kasih halodoc,3,Positif
5,guna banget,2,Positif
5,sok good layan ya,2,Positif
5,nice app,1,Positif
3,alam enak mitra drivernya ganti tutup apotek ya pas check order konfirmasi batal suruh hubung cs ya puter prosedur ribet konfirmasi by phone langsung cepat tanggap saranmasukan baharu sistem aplikasi ya update utama putar kirim produkobat ya kendala pilih cancel mdh dampak customer terimakasih,3,Positif
5,suka banget tim halodoc andal utama konsultasi putar sehat masalah kulit,0,Netral
5,mantap,1,Positif
5,mudah obat praktis,0,Netral
5,good app,1,Positif
1,kecewa halo doc pakai halo doc,2,Positif
5,stephanie amelia spdve kendala,0,Netral
5,fast smart response,0,Netral
5,bantu efektif temu lansung dokter diagnosa akurat,2,Positif
5,bagus cari kunsul tas bikin resep obat,-1,Negatif
5,bantu konsultasi via online dokter halodoc repot rumah thanks,2,Positif
5,terima kasih dok moga lekas sehat,3,Positif
5,ya rezeki an dokter kadang dokter welcome kadang dokter yaudah dueeeh,5,Positif
5,puas keluh alami cepat tanggap,1,Positif
5,first time konsultasi halodoc sok far sih oke kebetulah masaha gigi konsultasi drg nurul nufitijani sukarja oke kasih masuk saran terima kasih,4,Positif
2,komplain lambat barang sesuai pes,2,Positif
5,bagus kembang,1,Positif
5,haodoc bantu konsultasi sehat mana,1,Positif
5,respon ya cepat,2,Positif
5,manfaat,1,Positif
5,bantu aplikasinyarekomend deh,0,Netral
5,tangan cepat respon obat manjur,1,Positif
5,obat lengkap keluh driver ongkir ribu bayar lumayan ongkir ya,0,Netral
5,puas layan ya,2,Positif
5,mwmbantu dokter kerja,1,Positif
5,joss poll,0,Netral
1,problem bantu heidy close chat complain bubar mending,-1,Negatif
5,halodoc the best,0,Netral
5,ramah dokter cepat obat ya,0,Netral
5,bantu jam apu kirim terima kasih halodoc,2,Positif
5,aplikasi bantu konsultasi sehat dokter spesialis dokter solusi praktis,3,Positif
3,bintang dulusoalnya chat dokter foto hasil periksa meng upload ya batas filenya file foto pecah dokter baca file video konsultasi dokter,4,Positif
5,pakai bagus sih,0,Netral
5,terimakasih halodoc bantu aplikasi lokasi rumah sakit,0,Netral
5,bagus muas,1,Positif
5,halodoc ok banget,2,Positif
5,bantu konsultasi online tenaga medis daerah kabupaten akses,3,Positif
5,mantap efisien,2,Positif
5,mudah konsultasi resep obat,1,Positif
5,bantu kala sibuk dgpekerjaan,0,Netral
5,bantu,0,Netral
5,efesiensi layan,0,Netral
1,konsultasi direspon potong saldo gopaynya,1,Positif
5,berterimakasih syukur halodoc kirim obat kampung ortua konsulin almarhum mama kena covid kena balls spasy langsung konsultasi halodoc pindah kota posisi suami kerja langsng rs harap banget halodoc kenal bangak orang saangatt bantu tahan layan sisten dokter terimakasih banyal halodoc,4,Positif
5,mudah cepat,0,Netral
5,mudah paham,0,Netral
5,aplikasi ya bagus respon dokter ya cepat ramahkalian wajib download,1,Positif
1,pesan batal kali butuh banget obat,-2,Negatif
5,bantu asuransi prudential,0,Netral
5,konsultasi dokter antri praktis,2,Positif
5,apk ya bantu,1,Positif
5,layan informasi cepat,0,Netral
1,pakai ingat obat ubah kali hari ubah ubah jam ubah jadwal minum obat hari jam ubah hari obat aplikasi ubah unduh aplikasi pakai aplikasi beda,-8,Negatif
5,good respon,2,Positif
5,mantap,1,Positif
5,bantu konsultasi kala panik butuh arah dokter,-1,Negatif
5,fast respond,0,Netral
1,pesananan jam kirim nelpon cs no ya gmail jawab halodoc asih ingat apa gosennya gosennya asih tenggat kalp barang telat,0,Netral
5,dokter fast respon terima kasih dokter bantu pulih,2,Positif
5,dokter diagnosanya cepat,0,Netral
1,bayar respone dokter,0,Netral
5,obat cepat rumah dokter ramah cepat merespon,1,Positif
5,bantu,0,Netral
5,okey,0,Netral
5,bantu masyarakat luas moga eks,1,Positif
5,pesan sesuai cepat antar,1,Positif
1,terang status kirim barang nama toko cantum lacak fasilitas chat,3,Positif
5,bantu sehat,0,Netral
5,puas layan konsultasi dokter spesialis,3,Positif
5,dokter ramah andal dibutuhkangood,0,Netral
5,bagus bantu,0,Netral
5,bantu,0,Netral
5,layan ramah senang,0,Netral
5,positif thumbs up,1,Positif
4,tangan cepat,1,Positif
4,helpful,0,Netral
5,bantu,0,Netral
5,bantu dokter ya fast respon,2,Positif
5,respon dokter cepat terima kasih dok,3,Positif
5,cepat resep,1,Positif
5,bantu konsultasi dokter mana terima kasih halodoc,2,Positif
5,okkkkk,0,Netral
5,halodoc responsif,0,Netral
5,bantu sakit resep,0,Netral
1,bayar mahal konsultasi eh gadapet keburu habis,1,Positif
5,bantu,0,Netral
5,waaaaa gampang banget cari obatnyaaa sumpah bantu syekali love banget halodoc cepat banget sampenya,2,Positif
5,sngat bantu,0,Netral
5,ubah signifikan aplikasi mudah cepat user friendly aplikasi bagus,-2,Negatif
5,bagus aplikasi,-1,Negatif
5,biss update,0,Netral
5,membantuberobat rumah,1,Positif
5,bantu urgent butuh,-1,Negatif
5,dokter cekat banget bantu orang sakit antri rs thx dokter ya,1,Positif
3,bantu awam sakit obat kurang apotik bekerjasama milik obat resep dokter terimakasihsemoga manfaat orang,-1,Negatif
5,bantu banget genting langsung berangkat dokter,1,Positif
5,guna apps mudah dokter responsif best,1,Positif
5,keren dokter ya humble semuaa,1,Positif
5,mua ok,1,Positif
5,bantu dokter ya ramah,1,Positif
5,dokter ramah fastrespon,0,Netral
5,respon dokter bagus moga suami lekas sehat resep doktermya,3,Positif
5,jelas oke banget dokter cepat tanggap ramah,3,Positif
5,layan ya ramah cepat,1,Positif
5,mudah dokter kualitas layan kembang,2,Positif
1,alam pakai aplikasi pesan obat langsung batal obat notifikasi pemberitahuan ecek aplikasi pesan obat sayq batal kecewa pakai aplikasi terima kasih,-7,Negatif
5,mudah,0,Netral
5,layan cepat antar cepat konsultasi mudah,1,Positif
3,menit puas,1,Positif
5,suka banget,1,Positif
5,tanggap cepat bagus terima kasih,2,Positif
5,alhamdulillah manfaat terima kasih,3,Positif
5,very goodbuat dokter ramah sopangood pokok nya moga sakit cepat smbuh amin,0,Netral
5,keren dokter baikkk,0,Netral
5,bagus mudah cepat,0,Netral
5,dokter ramah fokus sakit biasa sebelumny rekomendasi obatny tokcer langsung mending terimakasih halodoc,2,Positif
5,bantu konsultasi,1,Positif
5,konsultasi komunikatif bantu terimakasih,2,Positif
5,mudah konsultasi rumah,2,Positif
5,dokter sabar,1,Positif
1,respon saran keburu habis tunggu respon dokter endingnya dpet saran tlong rugi banget sia sia,-1,Negatif
5,layan ramah kirim cepat,1,Positif
5,top layan dokter dokter ya,2,Positif
3,beli obat keras lanjut konsultasi dokter setela klik konsultasi dokter sedia tunggu jampadahal urgent,2,Positif
5,proses bayar mudah konsultasi dokter cepat kirim foto obat cepat sampaimantap,3,Positif
5,bagus konsultasi halodoc dokter ya fast respon teliti,3,Positif
